delta_t,delta_P,N_d,delta_n,Ratio,Variance (%),Total Cost [$],Offline Compute [s]
16.0,870.0,3.0,4.0,2.2988505747126435,0.6795698924731183,5493.7702726933885,5.133683218182838
48.0,620.0,4.0,2.0,4.838709677419355,3.455197132616487,4310.1707447910485,5.495907572726455
16.0,715.0,2.0,4.0,4.195804195804196,1.935483870967742,4221.380728061176,5.067433999999511
24.0,710.0,4.0,4.0,2.112676056338028,3.655913978494624,4291.228547938345,4.672810645452542
27.0,850.0,3.0,2.0,4.705882352941177,3.980246913580247,5575.21854869132,5.85451229091268
100.0,540.0,4.0,1.0,11.11111111111111,3.704774193548387,4240.045457984455,3.082646200002108
32.0,625.0,2.0,2.0,9.6,2.1146953405017923,4293.123435238178,3.714666727275471
27.0,865.0,3.0,2.0,4.624277456647399,3.980246913580247,4392.155897128874,3.1956297181843016
15.0,960.0,2.0,3.0,4.166666666666667,0.9318996415770612,5564.298068382505,2.913890000004109
50.0,850.0,3.0,1.0,9.411764705882351,1.5913978494623655,6888.298223095897,3.004150563635366
40.0,885.0,2.0,1.0,13.559322033898304,0.16,4901.820886690394,3.2550123181823767
16.0,895.0,3.0,4.0,2.23463687150838,1.935483870967742,5475.2745146152965,2.800896318186212
12.0,950.0,2.0,4.0,3.1578947368421053,4.602150537634408,4472.264283328724,4.314279181816594
25.0,670.0,4.0,4.0,2.238805970149253,4.573476702508961,4396.6844874443,2.597542699996583
27.0,570.0,2.0,3.0,7.017543859649122,2.2795698924731185,4248.022435087445,3.234107027276133
108.0,585.0,5.0,1.0,8.205128205128204,1.425726802070888,4770.226027456184,4.220611627273187
50.0,880.0,3.0,1.0,9.090909090909092,1.5913978494623655,4449.267485551652,3.383681881820931
48.0,510.0,3.0,2.0,7.84313725490196,2.967741935483871,4297.083622459514,3.345277881815987
16.0,855.0,3.0,4.0,2.3391812865497075,3.2946236559139788,5694.475495850277,3.153250663637829
54.0,545.0,4.0,2.0,5.504587155963303,2.9811230585424133,4441.6872177930245,3.2943907727273074
72.0,725.0,4.0,1.0,8.275862068965518,2.5854241338112307,5405.352677306402,3.954622472730328
48.0,785.0,2.0,1.0,15.286624203821656,2.7096774193548385,4850.643064620729,4.074189681821736
108.0,580.0,5.0,1.0,8.275862068965518,1.425726802070888,4858.540469389943,4.133575563635201
50.0,705.0,2.0,1.0,17.02127659574468,0.16,5093.533561524506,4.362975754544922
384.0,120.0,7.0,3.0,9.523809523809524,2.043906810035842,4302.641395616693,2.7106655909089814
32.0,555.0,4.0,4.0,2.702702702702702,0.7483870967741936,4230.2324758433815,2.563238854546481
864.0,50.0,3.0,3.0,53.333333333333336,1.4735165272799682,4189.279592279737,2.994119027274957
90.0,350.0,7.0,3.0,3.26530612244898,4.908004778972521,4168.585056247234,3.027533145456056
128.0,440.0,4.0,1.0,13.636363636363637,1.632974910394265,5097.416438604313,3.364929063637233
3456.0,45.0,16.0,2.0,16.666666666666668,3.261914243993097,7402.206567554143,3.0821436090905494
900.0,85.0,7.0,2.0,20.16806722689076,2.285304659498208,4337.474200645055,3.1350780454522464
100.0,260.0,6.0,4.0,3.8461538461538463,4.28283870967742,4808.121108079932,3.719283963634304
60.0,410.0,5.0,3.0,3.902439024390244,0.6929510155316607,4876.070313953218,3.2926223999992628
25.0,715.0,3.0,3.0,3.7296037296037294,3.4494623655913976,5572.301350761368,4.0148502181784185
